127.0.0.1 - - [10/Aug/2025:20:11:46 +0000] "GET /health HTTP/1.1" 502 150 "-" "curl/8.14.1" "-" rt=3.078 uct="-" uht="-" urt="3.077"
127.0.0.1 - - [10/Aug/2025:20:20:36 +0000] "GET /health HTTP/1.1" 500 306 "-" "curl/8.14.1" "-" rt=0.005 uct="0.001" uht="0.006" urt="0.006"
127.0.0.1 - - [10/Aug/2025:20:21:06 +0000] "GET /health HTTP/1.1" 500 306 "-" "curl/8.14.1" "-" rt=0.001 uct="0.001" uht="0.002" urt="0.002"
127.0.0.1 - - [10/Aug/2025:20:21:36 +0000] "GET /health HTTP/1.1" 500 308 "-" "curl/8.14.1" "-" rt=0.005 uct="0.000" uht="0.005" urt="0.005"
127.0.0.1 - - [10/Aug/2025:20:22:21 +0000] "GET /health HTTP/1.1" 500 304 "-" "curl/8.14.1" "-" rt=0.003 uct="0.000" uht="0.003" urt="0.003"
127.0.0.1 - - [10/Aug/2025:20:22:51 +0000] "GET /health HTTP/1.1" 500 305 "-" "curl/8.14.1" "-" rt=0.005 uct="0.001" uht="0.005" urt="0.005"
127.0.0.1 - - [10/Aug/2025:20:23:21 +0000] "GET /health HTTP/1.1" 500 305 "-" "curl/8.14.1" "-" rt=0.007 uct="0.000" uht="0.007" urt="0.007"
185.199.109.133 - - [10/Aug/2025:20:23:37 +0000] "GET /health HTTP/1.1" 500 306 "-" "curl/7.86.0" "-" rt=0.010 uct="0.001" uht="0.010" urt="0.010"
127.0.0.1 - - [10/Aug/2025:20:23:51 +0000] "GET /health HTTP/1.1" 500 307 "-" "curl/8.14.1" "-" rt=0.003 uct="0.000" uht="0.003" urt="0.003"
127.0.0.1 - - [10/Aug/2025:20:24:22 +0000] "GET /health HTTP/1.1" 500 306 "-" "curl/8.14.1" "-" rt=0.002 uct="0.001" uht="0.003" urt="0.003"
127.0.0.1 - - [10/Aug/2025:20:24:52 +0000] "GET /health HTTP/1.1" 500 307 "-" "curl/8.14.1" "-" rt=0.011 uct="0.001" uht="0.010" urt="0.010"
127.0.0.1 - - [10/Aug/2025:20:25:22 +0000] "GET /health HTTP/1.1" 200 304 "-" "curl/8.14.1" "-" rt=0.004 uct="0.000" uht="0.004" urt="0.004"
185.199.109.133 - - [10/Aug/2025:20:25:23 +0000] "HEAD /health HTTP/1.1" 200 0 "-" "curl/7.86.0" "-" rt=0.004 uct="0.000" uht="0.004" urt="0.004"
127.0.0.1 - - [10/Aug/2025:20:25:52 +0000] "GET /health HTTP/1.1" 200 305 "-" "curl/8.14.1" "-" rt=0.012 uct="0.001" uht="0.012" urt="0.012"
127.0.0.1 - - [10/Aug/2025:20:26:22 +0000] "GET /health HTTP/1.1" 200 305 "-" "curl/8.14.1" "-" rt=0.014 uct="0.000" uht="0.014" urt="0.014"
185.199.109.133 - - [10/Aug/2025:20:26:40 +0000] "GET /health HTTP/1.1" 200 305 "-" "curl/7.86.0" "-" rt=0.015 uct="0.001" uht="0.016" urt="0.016"
127.0.0.1 - - [10/Aug/2025:20:26:52 +0000] "GET /health HTTP/1.1" 200 306 "-" "curl/8.14.1" "-" rt=0.003 uct="0.000" uht="0.002" urt="0.002"
127.0.0.1 - - [10/Aug/2025:20:27:48 +0000] "GET /health HTTP/1.1" 200 304 "-" "curl/8.14.1" "-" rt=0.026 uct="0.003" uht="0.026" urt="0.026"
185.199.109.133 - - [10/Aug/2025:20:27:48 +0000] "GET /health HTTP/1.1" 200 305 "-" "curl/7.86.0" "-" rt=0.002 uct="0.000" uht="0.002" urt="0.002"
185.199.109.133 - - [10/Aug/2025:20:27:48 +0000] "GET /health HTTP/2.0" 200 305 "-" "curl/7.86.0" "-" rt=0.003 uct="0.001" uht="0.003" urt="0.003"
185.199.109.133 - - [10/Aug/2025:20:27:48 +0000] "GET /health/ready HTTP/1.1" 200 152 "-" "curl/7.86.0" "-" rt=0.001 uct="0.000" uht="0.001" urt="0.001"
127.0.0.1 - - [10/Aug/2025:20:28:18 +0000] "GET /health HTTP/1.1" 200 305 "-" "curl/8.14.1" "-" rt=0.006 uct="0.000" uht="0.006" urt="0.006"
127.0.0.1 - - [10/Aug/2025:20:28:48 +0000] "GET /health HTTP/1.1" 200 305 "-" "curl/8.14.1" "-" rt=0.008 uct="0.001" uht="0.008" urt="0.008"
127.0.0.1 - - [10/Aug/2025:20:29:18 +0000] "GET /health HTTP/1.1" 200 307 "-" "curl/8.14.1" "-" rt=0.008 uct="0.001" uht="0.008" urt="0.008"
127.0.0.1 - - [10/Aug/2025:20:29:48 +0000] "GET /health HTTP/1.1" 200 307 "-" "curl/8.14.1" "-" rt=0.012 uct="0.000" uht="0.012" urt="0.012"
127.0.0.1 - - [10/Aug/2025:20:30:18 +0000] "GET /health HTTP/1.1" 200 306 "-" "curl/8.14.1" "-" rt=0.010 uct="0.001" uht="0.011" urt="0.011"
127.0.0.1 - - [10/Aug/2025:20:30:48 +0000] "GET /health HTTP/1.1" 200 307 "-" "curl/8.14.1" "-" rt=0.006 uct="0.000" uht="0.005" urt="0.005"
127.0.0.1 - - [10/Aug/2025:20:31:18 +0000] "GET /health HTTP/1.1" 200 307 "-" "curl/8.14.1" "-" rt=0.005 uct="0.001" uht="0.005" urt="0.005"
127.0.0.1 - - [10/Aug/2025:20:31:48 +0000] "GET /health HTTP/1.1" 200 307 "-" "curl/8.14.1" "-" rt=0.007 uct="0.000" uht="0.007" urt="0.007"
127.0.0.1 - - [10/Aug/2025:20:32:19 +0000] "GET /health HTTP/1.1" 200 307 "-" "curl/8.14.1" "-" rt=0.002 uct="0.001" uht="0.003" urt="0.003"
127.0.0.1 - - [10/Aug/2025:20:32:49 +0000] "GET /health HTTP/1.1" 200 307 "-" "curl/8.14.1" "-" rt=0.008 uct="0.001" uht="0.008" urt="0.008"
127.0.0.1 - - [10/Aug/2025:20:33:19 +0000] "GET /health HTTP/1.1" 200 307 "-" "curl/8.14.1" "-" rt=0.005 uct="0.000" uht="0.005" urt="0.005"
127.0.0.1 - - [10/Aug/2025:20:33:49 +0000] "GET /health HTTP/1.1" 200 307 "-" "curl/8.14.1" "-" rt=0.007 uct="0.000" uht="0.007" urt="0.007"
127.0.0.1 - - [10/Aug/2025:20:34:19 +0000] "GET /health HTTP/1.1" 200 307 "-" "curl/8.14.1" "-" rt=0.002 uct="0.000" uht="0.003" urt="0.003"
127.0.0.1 - - [10/Aug/2025:20:34:49 +0000] "GET /health HTTP/1.1" 200 307 "-" "curl/8.14.1" "-" rt=0.003 uct="0.001" uht="0.003" urt="0.003"
127.0.0.1 - - [10/Aug/2025:20:35:19 +0000] "GET /health HTTP/1.1" 200 307 "-" "curl/8.14.1" "-" rt=0.002 uct="0.000" uht="0.003" urt="0.003"
127.0.0.1 - - [10/Aug/2025:20:35:49 +0000] "GET /health HTTP/1.1" 200 307 "-" "curl/8.14.1" "-" rt=0.003 uct="0.000" uht="0.003" urt="0.003"
127.0.0.1 - - [10/Aug/2025:20:36:19 +0000] "GET /health HTTP/1.1" 200 307 "-" "curl/8.14.1" "-" rt=0.003 uct="0.000" uht="0.002" urt="0.002"
127.0.0.1 - - [10/Aug/2025:20:36:49 +0000] "GET /health HTTP/1.1" 200 306 "-" "curl/8.14.1" "-" rt=0.007 uct="0.000" uht="0.007" urt="0.007"
127.0.0.1 - - [10/Aug/2025:20:37:19 +0000] "GET /health HTTP/1.1" 200 307 "-" "curl/8.14.1" "-" rt=0.006 uct="0.000" uht="0.006" urt="0.006"
127.0.0.1 - - [10/Aug/2025:20:37:49 +0000] "GET /health HTTP/1.1" 200 308 "-" "curl/8.14.1" "-" rt=0.007 uct="0.000" uht="0.007" urt="0.007"
127.0.0.1 - - [10/Aug/2025:20:38:19 +0000] "GET /health HTTP/1.1" 200 308 "-" "curl/8.14.1" "-" rt=0.010 uct="0.001" uht="0.010" urt="0.010"
127.0.0.1 - - [10/Aug/2025:20:38:50 +0000] "GET /health HTTP/1.1" 200 308 "-" "curl/8.14.1" "-" rt=0.029 uct="0.001" uht="0.028" urt="0.028"
127.0.0.1 - - [10/Aug/2025:20:39:20 +0000] "GET /health HTTP/1.1" 200 308 "-" "curl/8.14.1" "-" rt=0.005 uct="0.001" uht="0.006" urt="0.006"
127.0.0.1 - - [10/Aug/2025:20:39:50 +0000] "GET /health HTTP/1.1" 200 308 "-" "curl/8.14.1" "-" rt=0.006 uct="0.000" uht="0.006" urt="0.006"
127.0.0.1 - - [10/Aug/2025:20:40:20 +0000] "GET /health HTTP/1.1" 200 308 "-" "curl/8.14.1" "-" rt=0.009 uct="0.000" uht="0.008" urt="0.008"
127.0.0.1 - - [10/Aug/2025:20:40:50 +0000] "GET /health HTTP/1.1" 200 308 "-" "curl/8.14.1" "-" rt=0.002 uct="0.000" uht="0.002" urt="0.002"
127.0.0.1 - - [10/Aug/2025:20:41:20 +0000] "GET /health HTTP/1.1" 200 308 "-" "curl/8.14.1" "-" rt=0.005 uct="0.000" uht="0.005" urt="0.005"
127.0.0.1 - - [10/Aug/2025:20:41:50 +0000] "GET /health HTTP/1.1" 200 308 "-" "curl/8.14.1" "-" rt=0.003 uct="0.000" uht="0.002" urt="0.002"
127.0.0.1 - - [10/Aug/2025:20:42:20 +0000] "GET /health HTTP/1.1" 200 308 "-" "curl/8.14.1" "-" rt=0.008 uct="0.001" uht="0.008" urt="0.008"
127.0.0.1 - - [10/Aug/2025:20:42:50 +0000] "GET /health HTTP/1.1" 200 308 "-" "curl/8.14.1" "-" rt=0.006 uct="0.000" uht="0.005" urt="0.005"
127.0.0.1 - - [10/Aug/2025:20:43:20 +0000] "GET /health HTTP/1.1" 200 308 "-" "curl/8.14.1" "-" rt=0.006 uct="0.000" uht="0.005" urt="0.005"
127.0.0.1 - - [10/Aug/2025:20:43:50 +0000] "GET /health HTTP/1.1" 200 308 "-" "curl/8.14.1" "-" rt=0.008 uct="0.001" uht="0.008" urt="0.008"
127.0.0.1 - - [10/Aug/2025:20:44:20 +0000] "GET /health HTTP/1.1" 200 308 "-" "curl/8.14.1" "-" rt=0.003 uct="0.001" uht="0.004" urt="0.004"
127.0.0.1 - - [10/Aug/2025:20:44:50 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.003 uct="0.001" uht="0.003" urt="0.003"
127.0.0.1 - - [10/Aug/2025:20:45:21 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.004 uct="0.000" uht="0.005" urt="0.005"
127.0.0.1 - - [10/Aug/2025:20:45:51 +0000] "GET /health HTTP/1.1" 200 309 "-" "curl/8.14.1" "-" rt=0.003 uct="0.000" uht="0.003" urt="0.003"
127.0.0.1 - - [10/Aug/2025:20:46:21 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.008 uct="0.001" uht="0.008" urt="0.008"
127.0.0.1 - - [10/Aug/2025:20:46:51 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.002 uct="0.000" uht="0.002" urt="0.002"
127.0.0.1 - - [10/Aug/2025:20:47:21 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.005 uct="0.001" uht="0.006" urt="0.006"
127.0.0.1 - - [10/Aug/2025:20:47:51 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.008 uct="0.000" uht="0.007" urt="0.007"
127.0.0.1 - - [10/Aug/2025:20:48:21 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.003 uct="0.001" uht="0.003" urt="0.003"
127.0.0.1 - - [10/Aug/2025:20:48:51 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.003 uct="0.000" uht="0.003" urt="0.003"
127.0.0.1 - - [10/Aug/2025:20:49:21 +0000] "GET /health HTTP/1.1" 200 309 "-" "curl/8.14.1" "-" rt=0.002 uct="0.000" uht="0.002" urt="0.002"
127.0.0.1 - - [10/Aug/2025:20:49:51 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.011 uct="0.000" uht="0.011" urt="0.011"
127.0.0.1 - - [10/Aug/2025:20:50:21 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.007 uct="0.001" uht="0.008" urt="0.008"
127.0.0.1 - - [10/Aug/2025:20:50:51 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.005 uct="0.000" uht="0.005" urt="0.005"
127.0.0.1 - - [10/Aug/2025:20:51:21 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.002 uct="0.000" uht="0.002" urt="0.002"
127.0.0.1 - - [10/Aug/2025:20:51:51 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.009 uct="0.001" uht="0.009" urt="0.009"
127.0.0.1 - - [10/Aug/2025:20:52:22 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.008 uct="0.000" uht="0.009" urt="0.009"
127.0.0.1 - - [10/Aug/2025:20:52:52 +0000] "GET /health HTTP/1.1" 200 309 "-" "curl/8.14.1" "-" rt=0.012 uct="0.001" uht="0.012" urt="0.012"
127.0.0.1 - - [10/Aug/2025:20:53:22 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.005 uct="0.000" uht="0.005" urt="0.005"
127.0.0.1 - - [10/Aug/2025:20:53:52 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.006 uct="0.001" uht="0.007" urt="0.007"
127.0.0.1 - - [10/Aug/2025:20:54:22 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.002 uct="0.000" uht="0.003" urt="0.003"
127.0.0.1 - - [10/Aug/2025:20:54:52 +0000] "GET /health HTTP/1.1" 200 309 "-" "curl/8.14.1" "-" rt=0.026 uct="0.004" uht="0.026" urt="0.026"
127.0.0.1 - - [10/Aug/2025:20:55:22 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.003 uct="0.001" uht="0.003" urt="0.003"
127.0.0.1 - - [10/Aug/2025:20:55:52 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.003 uct="0.001" uht="0.003" urt="0.003"
127.0.0.1 - - [10/Aug/2025:20:56:22 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.005 uct="0.000" uht="0.005" urt="0.005"
127.0.0.1 - - [10/Aug/2025:20:56:52 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.002 uct="0.000" uht="0.002" urt="0.002"
127.0.0.1 - - [10/Aug/2025:20:57:22 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.003 uct="0.000" uht="0.003" urt="0.003"
127.0.0.1 - - [10/Aug/2025:20:57:52 +0000] "GET /health HTTP/1.1" 200 309 "-" "curl/8.14.1" "-" rt=0.009 uct="0.000" uht="0.009" urt="0.009"
127.0.0.1 - - [10/Aug/2025:20:58:23 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.005 uct="0.000" uht="0.005" urt="0.005"
127.0.0.1 - - [10/Aug/2025:20:58:53 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.002 uct="0.000" uht="0.002" urt="0.002"
127.0.0.1 - - [10/Aug/2025:20:59:23 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.010 uct="0.001" uht="0.009" urt="0.009"
127.0.0.1 - - [10/Aug/2025:20:59:53 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.003 uct="0.000" uht="0.002" urt="0.002"
127.0.0.1 - - [10/Aug/2025:21:00:23 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.003 uct="0.000" uht="0.002" urt="0.002"
127.0.0.1 - - [10/Aug/2025:21:00:53 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.008 uct="0.001" uht="0.008" urt="0.008"
127.0.0.1 - - [10/Aug/2025:21:01:23 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.006 uct="0.001" uht="0.007" urt="0.007"
127.0.0.1 - - [10/Aug/2025:21:01:53 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.005 uct="0.001" uht="0.005" urt="0.005"
127.0.0.1 - - [10/Aug/2025:21:02:23 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.002 uct="0.000" uht="0.002" urt="0.002"
127.0.0.1 - - [10/Aug/2025:21:02:53 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.002 uct="0.001" uht="0.003" urt="0.003"
127.0.0.1 - - [10/Aug/2025:21:03:23 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.006 uct="0.000" uht="0.006" urt="0.006"
127.0.0.1 - - [10/Aug/2025:21:03:53 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.002 uct="0.000" uht="0.003" urt="0.003"
127.0.0.1 - - [10/Aug/2025:21:04:23 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.004 uct="0.000" uht="0.004" urt="0.004"
127.0.0.1 - - [10/Aug/2025:21:04:53 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.002 uct="0.001" uht="0.003" urt="0.003"
127.0.0.1 - - [10/Aug/2025:21:05:24 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.008 uct="0.001" uht="0.008" urt="0.008"
127.0.0.1 - - [10/Aug/2025:21:05:54 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.003 uct="0.000" uht="0.003" urt="0.003"
127.0.0.1 - - [10/Aug/2025:21:06:24 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.009 uct="0.001" uht="0.009" urt="0.009"
127.0.0.1 - - [10/Aug/2025:21:06:54 +0000] "GET /health HTTP/1.1" 200 309 "-" "curl/8.14.1" "-" rt=0.002 uct="0.001" uht="0.003" urt="0.003"
127.0.0.1 - - [10/Aug/2025:21:07:24 +0000] "GET /health HTTP/1.1" 200 309 "-" "curl/8.14.1" "-" rt=0.006 uct="0.001" uht="0.007" urt="0.007"
127.0.0.1 - - [10/Aug/2025:21:07:54 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.003 uct="0.001" uht="0.003" urt="0.003"
127.0.0.1 - - [10/Aug/2025:21:08:24 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.009 uct="0.001" uht="0.009" urt="0.009"
127.0.0.1 - - [10/Aug/2025:21:08:54 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.005 uct="0.000" uht="0.005" urt="0.005"
127.0.0.1 - - [10/Aug/2025:21:09:24 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.002 uct="0.001" uht="0.003" urt="0.003"
127.0.0.1 - - [10/Aug/2025:21:09:54 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.008 uct="0.001" uht="0.008" urt="0.008"
127.0.0.1 - - [10/Aug/2025:21:10:24 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.008 uct="0.001" uht="0.009" urt="0.009"
127.0.0.1 - - [10/Aug/2025:21:10:54 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.002 uct="0.000" uht="0.002" urt="0.002"
127.0.0.1 - - [10/Aug/2025:21:11:25 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.005 uct="0.001" uht="0.006" urt="0.006"
127.0.0.1 - - [10/Aug/2025:21:11:55 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.004 uct="0.000" uht="0.003" urt="0.003"
127.0.0.1 - - [10/Aug/2025:21:12:25 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.002 uct="0.001" uht="0.003" urt="0.003"
127.0.0.1 - - [10/Aug/2025:21:12:55 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.008 uct="0.001" uht="0.008" urt="0.008"
127.0.0.1 - - [10/Aug/2025:21:13:25 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.005 uct="0.000" uht="0.005" urt="0.005"
127.0.0.1 - - [10/Aug/2025:21:13:55 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.003 uct="0.001" uht="0.003" urt="0.003"
127.0.0.1 - - [10/Aug/2025:21:14:25 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.004 uct="0.000" uht="0.004" urt="0.004"
127.0.0.1 - - [10/Aug/2025:21:14:55 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.006 uct="0.001" uht="0.006" urt="0.006"
127.0.0.1 - - [10/Aug/2025:21:15:25 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.003 uct="0.001" uht="0.003" urt="0.003"
127.0.0.1 - - [10/Aug/2025:21:15:55 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.006 uct="0.001" uht="0.006" urt="0.006"
127.0.0.1 - - [10/Aug/2025:21:16:25 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.003 uct="0.000" uht="0.002" urt="0.002"
127.0.0.1 - - [10/Aug/2025:21:16:55 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.002 uct="0.001" uht="0.003" urt="0.003"
127.0.0.1 - - [10/Aug/2025:21:17:25 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.006 uct="0.000" uht="0.006" urt="0.006"
127.0.0.1 - - [10/Aug/2025:21:17:56 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.002 uct="0.000" uht="0.003" urt="0.003"
127.0.0.1 - - [10/Aug/2025:21:18:26 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.007 uct="0.000" uht="0.006" urt="0.006"
127.0.0.1 - - [10/Aug/2025:21:18:56 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.005 uct="0.001" uht="0.006" urt="0.006"
127.0.0.1 - - [10/Aug/2025:21:19:26 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.003 uct="0.001" uht="0.003" urt="0.003"
127.0.0.1 - - [10/Aug/2025:21:19:56 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.007 uct="0.001" uht="0.007" urt="0.007"
127.0.0.1 - - [10/Aug/2025:21:20:26 +0000] "GET /health HTTP/1.1" 200 309 "-" "curl/8.14.1" "-" rt=0.002 uct="0.000" uht="0.002" urt="0.002"
127.0.0.1 - - [10/Aug/2025:21:20:56 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.009 uct="0.001" uht="0.009" urt="0.009"
127.0.0.1 - - [10/Aug/2025:21:21:26 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.003 uct="0.001" uht="0.004" urt="0.004"
127.0.0.1 - - [10/Aug/2025:21:21:56 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.003 uct="0.000" uht="0.002" urt="0.002"
127.0.0.1 - - [10/Aug/2025:21:22:26 +0000] "GET /health HTTP/1.1" 200 309 "-" "curl/8.14.1" "-" rt=0.006 uct="0.000" uht="0.005" urt="0.005"
127.0.0.1 - - [10/Aug/2025:21:22:56 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.004 uct="0.000" uht="0.005" urt="0.005"
127.0.0.1 - - [10/Aug/2025:21:23:26 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.009 uct="0.001" uht="0.010" urt="0.010"
127.0.0.1 - - [10/Aug/2025:21:23:56 +0000] "GET /health HTTP/1.1" 200 310 "-" "curl/8.14.1" "-" rt=0.002 uct="0.001" uht="0.003" urt="0.003"
